User_ID,Nome,Endereco,Email,Cpf,Telefone
1,Randee,67252 Division Road,rfrancom0@independent.co.uk,76-676-4958,855-34-3974
2,Alick,01642 Orin Crossing,azumfelde1@europa.eu,70-558-0263,146-94-6600
3,Xena,88317 Ryan Terrace,xhoyles2@freewebs.com,80-076-9088,150-23-5407
4,Xenos,7962 Armistice Drive,xjarmaine3@apple.com,85-923-9618,549-26-2988
5,Clemmie,77118 Park Meadow Hill,cjayume4@de.vu,64-823-6794,676-12-7153
6,Cass,85890 Almo Alley,cruvel5@amazonaws.com,52-065-2352,578-92-7965
7,Annabell,509 Dakota Point,atejero6@shareasale.com,22-161-4928,648-56-7254
8,Horatius,5980 Meadow Valley Terrace,hshurlock7@nhs.uk,58-191-6834,192-99-6246
9,Reuven,1 Sage Road,rsigge8@flickr.com,92-878-7736,590-08-3910
10,Marcos Aurelio Leonel,262 Troy Circle,etlcompython@python.com,34-822-4039,771-95-0115
11,Rebekkah,26 Brown Way,rblackleya@google.pl,41-595-8459,235-98-8071
12,Karlene,0 Kennedy Trail,kmcdowallb@upenn.edu,66-907-7942,578-15-7685
13,Stacia,84518 Barnett Way,sspreyc@timesonline.co.uk,31-543-9810,388-74-1278
14,Claudia,9 Holmberg Crossing,cwindaybankd@va.gov,62-482-0458,594-98-2508
15,Iggy,21676 Donald Hill,icrosskelle@statcounter.com,91-583-6457,362-45-5009
16,Dud,5 Lotheville Drive,digglesdenf@hubpages.com,97-590-3401,682-13-9092
17,Lorianne,07695 Merchant Crossing,lspadellig@mtv.com,36-675-8954,709-61-7335
18,Micky,37 Prairie Rose Pass,moveralh@wiley.com,77-337-2240,505-53-6167
19,Carroll,8781 Declaration Street,csweetingi@techcrunch.com,24-909-0306,788-05-8328
20,Frazer,143 Becker Pass,fcheethamj@comsenz.com,88-337-8585,483-51-1421
